date,workerid,amount
Thu May 18 09:26:45 PDT 2017,A2C73Y1COWCA51,1.65
Thu May 18 09:26:57 PDT 2017,A3HBMPB74FWI1,1.65
Thu May 18 09:27:37 PDT 2017,A3U74S280Z4B0,1.65
Thu May 18 09:27:48 PDT 2017,A5EU1AQJNC7F2,1.65
Thu May 18 09:28:44 PDT 2017,A3LJ2FHESYV9QQ,1.65
Thu May 18 09:29:01 PDT 2017,A15FXHC1CVNW31,1.65
Thu May 18 09:29:09 PDT 2017,ATF7HBD1TFI2U,1.65
Thu May 18 09:29:23 PDT 2017,AR1IWBDA7MC86,1.65
Thu May 18 09:29:26 PDT 2017,A2OFN0A5CPLH57,1.65
Thu May 18 09:30:12 PDT 2017,A7KLTVEIASF4J,1.65
Thu May 18 09:30:17 PDT 2017,A2541C8MY0BYV3,1.65
Thu May 18 09:31:47 PDT 2017,A150GMV1YQWWB3,1.65
Thu May 18 09:31:59 PDT 2017,ABL3H3O3BI8ZD,1.65
Thu May 18 09:33:09 PDT 2017,A39XQI36EWJLDJ,1.65
Thu May 18 09:33:25 PDT 2017,A110JYKWR9T6H8,1.65
Thu May 18 09:35:53 PDT 2017,A228YSXU6H27QT,1.65
Thu May 18 09:36:18 PDT 2017,A3N0QZ9ZKUCTCQ,1.65
Thu May 18 09:36:28 PDT 2017,A1727A5VJOZAMR,1.65
Thu May 18 09:39:24 PDT 2017,A2AJ5QFNC9KF43,1.65
Thu May 18 09:39:32 PDT 2017,A3Q0XAGQ7TD7MP,1.65
Thu May 18 09:40:24 PDT 2017,A3843S9LWPDN2K,1.65
Thu May 18 09:41:07 PDT 2017,AKLV0WIZZ356X,1.65
Thu May 18 09:45:57 PDT 2017,A2SENAPNSXG9L,1.65
Thu May 18 09:45:59 PDT 2017,A1CIIX0CB0GR7H,1.65
Thu May 18 09:50:31 PDT 2017,A1VNYP58BTF4HX,1.65
Thu May 18 09:54:51 PDT 2017,A2GG7HIO2OIXUR,1.65
Thu May 18 09:56:09 PDT 2017,A2G30CUMM6UXG5,1.65
Thu May 18 09:58:20 PDT 2017,AC5UD8N187QD6,1.65
Thu May 18 10:03:25 PDT 2017,A3L2UB07EZJAMD,1.65
Thu May 18 10:05:16 PDT 2017,A34SUZWGLXIWM8,1.65
,total paid to workers:,=SUM(c2:c31)
,40% paid to Amazon:,=.4*c32
,total:,=SUM(c32:c33
